 Function Name                                       Address          Relative AddressOrdinal          Filename            Full Path                                 Type
   ImmGetCompositionFontW                            0x7d9268c8       0x000168c8      53 (0x35)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetCompositionStringA                          0x7d927a37       0x00017a37      54 (0x36)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetCompositionStringW                          0x7d92420d       0x0001420d      55 (0x37)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetCompositionWindow                           0x7d922df9       0x00012df9      56 (0x38)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetContext                                     0x7d922004       0x00012004      57 (0x39)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetConversionListA                             0x7d927214       0x00017214      58 (0x3a)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetConversionListW                             0x7d927364       0x00017364      59 (0x3b)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetConversionStatus                            0x7d922469       0x00012469      60 (0x3c)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetDefaultIMEWnd                               0x7d921f1d       0x00011f1d      61 (0x3d)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetDescriptionA                                0x7d92a031       0x0001a031      62 (0x3e)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetDescriptionW                                0x7d92a467       0x0001a467      63 (0x3f)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetGuideLineA                                  0x7d928362       0x00018362      64 (0x40)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetGuideLineW                                  0x7d928383       0x00018383      65 (0x41)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetHotKey                                      0x7d928410       0x00018410      66 (0x42)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetIMCCLockCount                               0x7d92b0ba       0x0001b0ba      67 (0x43)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetIMCCSize                                    0x7d92b106       0x0001b106      68 (0x44)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetIMCLockCount                                0x7d92b268       0x0001b268      69 (0x45)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetIMEFileNameA                                0x7d92a659       0x0001a659      70 (0x46)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetIMEFileNameW                                0x7d92a50a       0x0001a50a      71 (0x47)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetImeInfoEx                                   0x7d9214f0       0x000114f0      72 (0x48)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetImeMenuItemsA                               0x7d934e48       0x00024e48      73 (0x49)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetImeMenuItemsW                               0x7d934e6f       0x00024e6f      74 (0x4a)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetOpenStatus                                  0x7d923dd0       0x00013dd0      75 (0x4b)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetProperty                                    0x7d923c1b       0x00013c1b      76 (0x4c)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetRegisterWordStyleA                          0x7d92bcf3       0x0001bcf3      77 (0x4d)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetRegisterWordStyleW                          0x7d92bdfa       0x0001bdfa      78 (0x4e)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetStatusWindowPos                             0x7d9263be       0x000163be      79 (0x4f)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmGetVirtualKey                                  0x7d92b553       0x0001b553      80 (0x50)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmIMPGetIMEA                                     0x7d92fb99       0x0001fb99      81 (0x51)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmIMPGetIMEW                                     0x7d92fb65       0x0001fb65      82 (0x52)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmIMPQueryIMEA                                   0x7d92fad6       0x0001fad6      83 (0x53)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmIMPQueryIMEW                                   0x7d92f9ca       0x0001f9ca      84 (0x54)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmIMPSetIMEA                                     0x7d92f86e       0x0001f86e      85 (0x55)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmIMPSetIMEW                                     0x7d92f746       0x0001f746      86 (0x56)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmInstallIMEA                                    0x7d92af74       0x0001af74      87 (0x57)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmInstallIMEW                                    0x7d92ac89       0x0001ac89      88 (0x58)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmIsIME                                          0x7d922fc8       0x00012fc8      89 (0x59)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmIsUIMessageA                                   0x7d92b226       0x0001b226      90 (0x5a)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmIsUIMessageW                                   0x7d92b247       0x0001b247      91 (0x5b)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmLoadIME                                        0x7d9218f9       0x000118f9      92 (0x5c)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmLoadLayout                                     0x7d929e79       0x00019e79      93 (0x5d)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmLockClientImc                                  0x7d921ce0       0x00011ce0      94 (0x5e)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmLockIMC                                        0x7d921ddd       0x00011ddd      95 (0x5f)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmLockIMCC                                       0x7d921ee7       0x00011ee7      96 (0x60)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmLockImeDpi                                     0x7d921fa5       0x00011fa5      97 (0x61)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmNotifyIME                                      0x7d923bb9       0x00013bb9      98 (0x62)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmProcessKey                                     0x7d923a6a       0x00013a6a      99 (0x63)        imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmPutImeMenuItemsIntoMappedFile                  0x7d934e96       0x00024e96      100 (0x64)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmRegisterClient                                 0x7d92135e       0x0001135e      102 (0x66)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmRegisterWordA                                  0x7d92b59e       0x0001b59e      103 (0x67)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmRegisterWordW                                  0x7d92b6db       0x0001b6db      104 (0x68)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmReleaseContext                                 0x7d922122       0x00012122      105 (0x69)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmRequestMessageA                                0x7d9283a4       0x000183a4      106 (0x6a)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmRequestMessageW                                0x7d92407a       0x0001407a      107 (0x6b)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmReSizeIMCC                                     0x7d92b0e0       0x0001b0e0      101 (0x65)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmSendIMEMessageExA                              0x7d92f907       0x0001f907      108 (0x6c)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmSendIMEMessageExW                              0x7d92f8ec       0x0001f8ec      109 (0x6d)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmSetActiveContext                               0x7d9221d1       0x000121d1      110 (0x6e)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmSetActiveContextConsoleIME                     0x7d934487       0x00024487      111 (0x6f)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmSetCandidateWindow                             0x7d923e03       0x00013e03      112 (0x70)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmSetCompositionFontA                            0x7d926964       0x00016964      113 (0x71)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmSetCompositionFontW                            0x7d923966       0x00013966      114 (0x72)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmSetCompositionStringA                          0x7d9283c2       0x000183c2      115 (0x73)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmSetCompositionStringW                          0x7d9283e9       0x000183e9      116 (0x74)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmSetCompositionWindow                           0x7d9238d8       0x000138d8      117 (0x75)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmSetConversionStatus                            0x7d923ee7       0x00013ee7      118 (0x76)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmSetHotKey                                      0x7d92132a       0x0001132a      119 (0x77)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmSetOpenStatus                                  0x7d923ff4       0x00013ff4      120 (0x78)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmSetStatusWindowPos                             0x7d926a7c       0x00016a7c      121 (0x79)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmShowSoftKeyboard                               0x7d92f0e7       0x0001f0e7      122 (0x7a)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmSimulateHotKey                                 0x7d9288a8       0x000188a8      123 (0x7b)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmSystemHandler                                  0x7d92b1cf       0x0001b1cf      124 (0x7c)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmTranslateMessage                               0x7d92f27f       0x0001f27f      125 (0x7d)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmUnlockClientImc                                0x7d921cb0       0x00011cb0      126 (0x7e)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmUnlockIMC                                      0x7d921d89       0x00011d89      127 (0x7f)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmUnlockIMCC                                     0x7d921f02       0x00011f02      128 (0x80)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmUnlockImeDpi                                   0x7d921f58       0x00011f58      129 (0x81)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmUnregisterWordA                                0x7d92b82a       0x0001b82a      130 (0x82)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmUnregisterWordW                                0x7d92b967       0x0001b967      131 (0x83)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmWINNLSEnableIME                                0x7d92f637       0x0001f637      132 (0x84)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

   ImmWINNLSGetEnableStatus                          0x7d92f65e       0x0001f65e      133 (0x85)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function
   ImmWINNLSGetIMEHotkey                             0x7d9353c2       0x000253c2      134 (0x86)       imm32.dll           C:\Windows\System32\imm32.dll             Exported Function

